Name,Artist,Spotify URI
Monokuro No Kiss,Sid,spotify:track:7KRIVYAdAvTWaR7Mzfmnbv
Samurai,Lupe Fiasco,spotify:track:00LGJRRqN4AtSpHrvjIyiJ
Mumble Rap,Lupe Fiasco,spotify:track:0yEc3E8I61boAM4ADMldtn
Palaces,Lupe Fiasco,spotify:track:4ZMkvjr7y8M9Jv3lN87lff
Bigfoot,Lupe Fiasco,spotify:track:2sCGD4YgHcHVFSBKtzAiUV
Outside,Lupe Fiasco,spotify:track:4VM3DRzZBBBTnnJw66Y8gz
Til Eternity,Lupe Fiasco,spotify:track:5JV34AOtX6BD1mJ6gTrxWN
Time Will Tell,Hikaru Utada,spotify:track:47OvHGnQfhrPpyNCmNFTAy
Poland,Lil Yachty,spotify:track:74loibzxXRL875X20kenvk
Emo,Muyeez,spotify:track:4oikgJR46naK6qMDqprOgC
Love Garden,Boj,spotify:track:2W5n3jiFEq94cPpRdNxFKL
Trumpet,Olamide,spotify:track:3Q3cmIGrJM7fDpXdo0gEPG
Gmail,CKay,spotify:track:4B3N33i7imwKJuH6nX30Gx
Angie,Fred again..,spotify:track:24CoUR3GwPXeWJzGizLzhR
Everything I Own,Boy George,spotify:track:1ZgEpCLk5sQcwMSpIpGfiQ
Private Room,J.P.,spotify:track:35qWJOaWkfaGLuY9Ngn6VV
Morning Sun,Shindy,spotify:track:1NcVOQ0fu8erZf2XkQuAEB
I KNOW ?,Travis Scott,spotify:track:6wsqVwoiVH2kde4k4KKAFU
風にのって,Janne Da Arc,spotify:track:7ymHcljPyetnd9rPGOJUfi
Still,Janne Da Arc,spotify:track:115OVtRP4rV3Kb2AghobXT
Rocket Dive,Dragon Ash,spotify:track:3ZMh2zp5u6nj3Ag1P24nBz
The Beginning,ONE OK ROCK,spotify:track:1J6MFj60gFCvYqOtjoYkM0
Pride,Yamaarashi,spotify:track:3CzODZfREwoLNYPqrVKyP0
Today's the Day,Dragon Ash,spotify:track:1i8nAyTGYU2n5wBNFJbNhb
VOX,Dragon Ash,spotify:track:7tonWzUNa7qiuBfTloPu3N
Keep Pushin,"Keith ""Wonderboy"" Johnson",spotify:track:1ETtXAJ9y3rAzWUs7da0Da
Bad Feeling,BOØWY,spotify:track:0iujTWTgmqgrc6bXxVu9aC
China Town,Eikichi Yazawa,spotify:track:2DUxQ0f2AR7QcG7iKOPNGL
Lightskin Lil Wayne,Tyga,spotify:track:1zZEly0sLmyDm75c1pAqYf
Goddamn,Tyga,spotify:track:4TCG827sk5fDEmUvcQlStk
Sexy Dancer,Harry Mosco,spotify:track:2lAQ8P4dgiV8iteSdf9hWW
Escape,Nemzzz,spotify:track:43nqv4QZLdroszZ03wKCCh
Money Trees,Gottz,spotify:track:2JaEYhyKiufEazcC51QhWC
Gm,DJ KANJI,spotify:track:3iMgNW5vuVOBklU8nImVk4
I Wish I Knew How It Would Feel to Be Free,Nina Simone,spotify:track:5CKHhg31HcYYhwUeeGqvhq
ocean eyes,Billie Eilish,spotify:track:7hDVYcQq6MxkdJGweuCtl9
Walkin,Tsubaki,spotify:track:3maUkgWmVgFlzyRS5GrnHV
Burnt Rice,Shawn Wasabi,spotify:track:2S4N7RYlhHr1vWadDaleuJ
Riot,Lil Skies,spotify:track:16U1C1VQYroAaCvqZq2oO8
Real Ties,Lil Skies,spotify:track:0Qd2KYCmwGYiTF3A0opS6b
Havin My Way,Lil Skies,spotify:track:3TcKJZF01kCz0yyadk3gsI
Really,Crossbones,spotify:track:3tymFnsX3jMuCMOClxZR6J
"Teacher Don't Teach Me Nonsense, Pts. 1 & 2",Fela Kuti,spotify:track:7B2epm7dte0Wgq8OC5wzqc
Oni Suru,Odeyemi,spotify:track:53Df6hdXnMoqxwuWHbYdqu
Progress,Tony Allen,spotify:track:7gGmZVHLbnnR9ksLvREMvr
Sastanàqqàm,Tinariwen,spotify:track:1iF5qF23HdEoy3US9Bb9zR
Ha,Juvenile,spotify:track:3b0dX6Q2lxp7OX5lFt0nba
Bounce Back,Big Sean,spotify:track:0SGkqnVQo9KPytSri1H6cF
Moves,Big Sean,spotify:track:0Fv5N0cHBsl4bzCbollCAS
No Favors,Big Sean,spotify:track:1MksGqIztTT6M9R1ErKVs8
Never Be Yours,Kali Uchis,spotify:track:3cKnHNL40tqnmjXiv4FOlk
I Wish you Roses,Kali Uchis,spotify:track:35SbrfbaSpGUBX7e5BPega
Conslata Achieng,Kiwiro Boys Band,spotify:track:6uTXZt7wiIEwWkUo3OojgJ
Blow Out,Radiohead,spotify:track:5XpcTQlNnfIQbiWE4hvYo7
Love Yuh Bad,Popcaan,spotify:track:0mfpp9F6KZUKjPzSQKlCjP
"Etude in C Minor, Op. 10 No. 12",Fujiko Hemming,spotify:track:6jEMK0krtJPZM7Z7Ixvyy4
Kiss from a Rose,Seal,spotify:track:3YKptz29AsOlm7WAVnztBh
Bonita,K. Forest,spotify:track:2j3WE0EFxtsX3LHjxOeHgu
Water No Get Enemy,Fela Kuti,spotify:track:2oWex6rYoQ7Bl2D9zG8d3F
Heartz Of Men,2Pac,spotify:track:6VAdOq9sndm8QQqXx4BhkK
Accordion,Madvillain,spotify:track:67vrmPygrZ9giGqHUSReAT
"Footsteps In the Dark, Pts. 1 & 2",The Isley Brothers,spotify:track:1tL5a9jowsWMtn3wkFYsG9
Love Train,The O'Jays,spotify:track:28285KFbyCq8sJofn58qlD
Papa Was a Rollin' Stone,The Temptations,spotify:track:7MiLmLbwNoyf47xQ4TCVYp
You Can't Hurry Love,The Supremes,spotify:track:1OppEieGNdItZbE14gLBEv
KOCO KOCO,OZROSAURUS,spotify:track:09XTrGh7yx1UCPCQLLnf7W
Bay Blues,OZROSAURUS,spotify:track:6VUVHOrbL8LdmqDS0nqyck
白日 ALBUM VERSION,RIP SLYME,spotify:track:0otl7qaaiHAoq0t3MzTXxS
Nanokakan,TWIGY,spotify:track:5Exyrd1Ux7XadNgKmL3kG7
Mappiruma,ZEEBRA,spotify:track:6qdUpyjKfO8OGcs7ZjO6Px
Feelin’ Go,Fujii Kaze,spotify:track:1C22EnQawXuIsqgnnWcrMR
Agora Hills,Doja Cat,spotify:track:7dJYggqjKo71KI9sLzqCs8
We Won,Tion Wayne,spotify:track:0rLGYykaXj89TBOXq6Aief
Wid It,Tion Wayne,spotify:track:3DQRe4gHJOY4ufHBZr2jUF
I Dunno,Tion Wayne,spotify:track:3B0WbRucJ6ZIla2G9IVt2E
Only If You Knew,Dutchavelli,spotify:track:27ApZ49hpZZbLSBdNLnqjv
Skr On Em,Dutchavelli,spotify:track:0rrFIt5Hr8ERpbsJslofL8
Darkest Moments,Dutchavelli,spotify:track:0yT0op4ntvTxIGGfs8W9cw
Surely,Dutchavelli,spotify:track:2up9nw1zIgMQKN5oC8b9J7
capture my soul,CKay,spotify:track:6nWbowN2n1DXxyfQGhx2Zz
Calm Down,Rema,spotify:track:0WtM2NBVQNNJLh6scP13H8
Terms and Conditions,Boldy James,spotify:track:2q96AKhUMU6sRz4VhpQVKn
14 KI's,Conway the Machine,spotify:track:4vptagaIflVdu1F9Q11o9d
Ray Mysterio,The Alchemist,spotify:track:5HCBEhjJ90VMZ2bzwPwK8S
30 Freestyle,JID SV,spotify:track:6vzwJFoinngvvGUUdrqUdg
erase me,Lizzy McAlpine,spotify:track:4R2DDseYW2tsmMhvdQQ2Po
Never Gonna Be Alone,Jacob Collier,spotify:track:275XKjLmQFuZnxTvvtJ6VZ
I Miss You,blink-182,spotify:track:1oTo3ijRbaDAtrjJrGAPSw
Free,Calvin Harris,spotify:track:3NxB1jubUWY6zit9rOk8ZC
Midnight Breeze,Inger Lise,spotify:track:6EYdbQd7567JbSj56SdVkt
Joy,Timbaland,spotify:track:7jV7xNabBbcSkpwAGETIuY
Up Jumps Da' Boogie,Timbaland,spotify:track:4iIba3ZoAxi5TrDs11O5ZO
AZAMAN,Rema,spotify:track:4K5lYtD8r6OFRbzWc6MwCS
YAYO,Rema,spotify:track:3sKBph3ElueH1dVLmkHWZZ
Doshaburi,kZm,spotify:track:30iyDoqghH5gs3I7bAFT4a
Like That,Tee,spotify:track:4BOmQpFBXs7NsIVDpL6Eop
Best Friends Forever,BIG-8,spotify:track:4JmgVvrPNdoleaRvQS7Rxo
"Swan Lake, Op. 20, Act 2: No. 10, Moderato",André Previn,spotify:track:2xizRhme7pYeITbH1NLLGt
"Messiah, HWV 56, Pt. 2: Chorus. ""Hallelujah""",Choir of The English Concert,spotify:track:1o83BhouGGvWoHqyaJBwJk
Dumptruck,Kinfolk Thugs,spotify:track:4uFevo0lhDBUmEbcDSVqGK
Selecta,Skrillex,spotify:track:2nBswif1hr0AS3ialfIRgy
Officially Missing You,Tamia,spotify:track:6g7xA2g7QIMwp4CKXnGVUa
Saturday Mornings,Cordae,spotify:track:2dk1fsLg7YEsKJdVm4P5cu
I Want You Around,Snoh Aalegra,spotify:track:2gjidmxtA1pyj2HYrdOTG1
Waves & Wavs,Ahmed Spins,spotify:track:1D7PE3dDyonJfUP6oSuaq7
How Deep Is Your Love,sunset groove,spotify:track:5adHN5gLowVCdAycwQiB92
Killi,Nomis (FR),spotify:track:7gnC9N4yNrmcIybrgZqubi
Nothing On Me,Maz,spotify:track:1Rh8OSTma2g6BdfBYXiTrq
Milkshake 20,Kelis,spotify:track:49wEdWGkL2CcOrXEKklXtJ
Alegria,ARYMÉ,spotify:track:6THD0HpXvLeHy8kdiK4NQg
The Boy Is Mine,James Mac,spotify:track:1aRd5tMVhiRyMJLmSOg2IF
Lua,JEWELS,spotify:track:4o6ZNOuKd8l1fDeQy94If0
Wish I Never Met You,Tory Lanez,spotify:track:7MOjhqpSpGkeRyT4agpg12
It's Not Right,Gianni Romano,spotify:track:4W3eLpTRL18ulWgCXMFbNm
Mi Casa,2fox,spotify:track:1TVeCLmOhfvBm68Okc6xmo
Messiah,DJ Tomer,spotify:track:7y7rapup0WvtynVvkBa4dA
Voyage Voyage,Francis Mercier,spotify:track:5vKKfaYOmxAC3973l5y2sU
Houdini,Dua Lipa,spotify:track:6D8y7Bck8h11byRY88Pt2z
Amore,Calussa,spotify:track:3LvAMGMQt0GEPSBrDFxkRB
Dana Dana,AVÖ,spotify:track:6QMUjJ6U90lSwC6wjzH5jP
Rayarah,Alex Wann,spotify:track:2LY4APQTU8whKRQ8jQPSZG
Kamili,Francis Mercier,spotify:track:5JEaCJCehAtt1nQf0gd9Dx
Fletcher's Song In Club,Justin Hurwitz,spotify:track:0ZFortLKtHTKy7YtuJiubt
Abide,Abdullah Ibrahim,spotify:track:3CZCDrxahCPcm6ixbLaGOX
Cloudland,Lars Danielsson,spotify:track:32GV4ifruoiDEoLVe0c1k7
Stars Fell On Alabama,Joey Calderazzo,spotify:track:46ZZKItcaZ0TRLFhdFiLBy
Look for the Silver Lining,Brad Mehldau,spotify:track:3rkH0jO59ImwjYsKTEQ2XS
Feelings,Joe Pass,spotify:track:6P5CazeCpw0AEj8WfPi5Kb
I Fall in Love Too Easily,Alan Broadbent Trio,spotify:track:3VW502fIs1JiMcj6xBvz3n
Celebrity Skin,Hole,spotify:track:2V4Bc2I962j7acQj1N0PiQ
All I Do Is Think of You,Troop,spotify:track:4XhrowM5IKGCRrY2HzYBH3
Mash,J Dilla,spotify:track:0LUrVZU02VWXqOD9UZaZ6t
Workinonit,J Dilla,spotify:track:33T6ABvdB3P2iYOWJnBjsQ
Reckless Driving,J Dilla,spotify:track:4cPheq1OYPfvNb5Sl0nzld
I Don't Know,Slum Village,spotify:track:21NESPAlEpCZkeAG5sJDOy
Make Way,Ruger,spotify:track:6HGeYNFZe51bX0yYOXuvcO
Dance,Big Sean,spotify:track:11xXXexOh1NfoKuxnTUUwh
Offense,Big Sean,spotify:track:26vz4FXMIgRyGj2hxmzttd
Kundalini,Headhunterz,spotify:track:4Tw0PFB1wBhW5FW8gbCW2p
Dharma,Headhunterz,spotify:track:6wiQ1tAGxUsnbJXyjgXLel
A Day in Lisbon,maco marets,spotify:track:5bg26yD4brHMl1zjTKyYuf
Nanagatsu,HOTEL DONUTS,spotify:track:17GTBkTaCMn3qXgwsPhJVf
Oh Boy,Cam'ron,spotify:track:4X1odWLrLSSahaK6Hi15AA
Worst Comes to Worst,Dilated Peoples,spotify:track:7aSnPAggMMgElb6BgXeSEw
24,Money Man,spotify:track:0xUvi7wldroBzaZCengPa5
Til the Neon's Gone,Josh Mirenda,spotify:track:0w627PGdQpAIs129dufxSV
Wasurerareta Big Wave,Southern All Stars,spotify:track:4sFCavZvj7CL8pYFePiydQ
U Can't Touch This,MC Hammer,spotify:track:1B75hgRqe7A4fwee3g3Wmu
Here Comes the Hammer,MC Hammer,spotify:track:4yjM4lHNqVOaLwuD2TAThH
Help the Children,MC Hammer,spotify:track:3UfNb3iQgIQO5SJ97BYirF
Bang a Gong,T. Rex,spotify:track:0tK1Ya57nOsgD0nGndjpdI
Metal Guru,T. Rex,spotify:track:3LTvQkgoDC7ENm78paTyzd
Children of the Revolution,T. Rex,spotify:track:3ZxZE1hcCf5iNyFEiVhgU4
Hot Love,T. Rex,spotify:track:4R5qHNB2gdxBM2LDNaJZeO
Telegram Sam,T. Rex,spotify:track:3iotcf8cLdtrYPcPIhfcHB
Zip Gun Boogie,T. Rex,spotify:track:5yHI4KFLxMcssJZnHcq4B7
Dandy In the Underworld,T. Rex,spotify:track:1H60NPzZfCnxyOmJxTFYOD
Ziggy Stardust,David Bowie,spotify:track:5IyL3XOaRPpTgxVjRIAxXU
"""Heroes""",David Bowie,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z
Rebel Rebel,David Bowie,spotify:track:2EC9IJj7g0mN1Q5VrZkiYY
Ashes to Ashes,David Bowie,spotify:track:37CRPk0L5ZpfPeePEPwE0t
The Man Who Sold the World,David Bowie,spotify:track:4mWahKerLaVddUjb8d1Q4Q
All the Young Dudes,David Bowie,spotify:track:1ZSzn5NIFQ6okGK5Ka4eLr
Ice Ice Baby,Vanilla Ice,spotify:track:3XVozq1aeqsJwpXrEZrDJ9
Lust for Life,Iggy Pop,spotify:track:21YxK0klhpfLW8budkJaMF
Welcome to the Jungle,Guns N' Roses,spotify:track:0G21yYKMZoHa30cYVi1iA8
Might Just,SWEET REVENGE,spotify:track:5jpqBCPxF6Y7xb5G43Oj9J
Angel,Aretha Franklin,spotify:track:5TICk0rfgLn67MEIHWjur2
I'm In Love,Ginuwine,spotify:track:7vOif8UTQsIV3zhok3MO4T
Dreamin' of You,hokuto,spotify:track:090uLMuAMfPejrGevb9Of8
Yumenotsuduki,Evisbeats,spotify:track:5txOothISqBpLOEQ0K1wFv
In This Darkness,Clara La San,spotify:track:0bmVH05tjN9jVh3kB1TfpR
White Ferrari,Frank Ocean,spotify:track:2LMkwUfqC6S6s6qDVlEuzV
2 Face,NORIKIYO,spotify:track:0XnDPjVQ3VGl821eJNoRjz
Takes One To Know One,The Beaches,spotify:track:7Jc79lucvYoqo3YA44EG8f
Vendetta,Petit Brabancon,spotify:track:4gW308SNxhm1lYDdegnrkj
Random numbers,Adotty trappinati,spotify:track:733UP4NlxGy4Pb2Mz96TBE
It Is What It Is,R2R Moe,spotify:track:6MRah6Qhh5Vr3RkSNrkyFj
BANG YOUR HEAD,Devin Malik,spotify:track:7u6J1agNGrSBvAByZRQu3J
No Light No Shadow,JAGGLA,spotify:track:45V5FU7xNCsmGBNXuhK9FM
Nemurenu Yoru,Off Course,spotify:track:509FRNgyu3lzpble8SheRF
Doja,Central Cee,spotify:track:3LtpKP5abr2qqjunvjlX5i
Turn Blue,Iggy Pop,spotify:track:71PBcyiD7v41DW2cwxD8uk
BODYGUARD!,JPEGMAFIA,spotify:track:2COpCHmdoG0mhV3D3NA2tD
Kuroi Mori No Tabibito,9mm Parabellum Bullet,spotify:track:05pExbdMIpnykuPXe6Ort4
Wild West Mustang,9mm Parabellum Bullet,spotify:track:50h3O3505CjQbQs6ToGnGJ
Heart Ni Hi Wo Tsukete,9mm Parabellum Bullet,spotify:track:4NxqB3X26pbzyouGzPYbSG
Bugatti,Ace Hood,spotify:track:08ljt6NCNAgewQaMya1URa
Songbird,Oasis,spotify:track:3tZpjDAfrttpnI1rEwQVrC
One Night Only,Sonder,spotify:track:74fQgHleHZ4V7Gm1XYcGkj
Rondo,KID FRESINO,spotify:track:4El6KySj1S0mkEc0FA5lZC
You Know How We Do It,Ice Cube,spotify:track:2Ih217RCGAmyQR68Nn7Cqo
Ronald,Falling In Reverse,spotify:track:2eKoPnGnuHqIpfph45z44W
Death or Glory,The Clash,spotify:track:3lUVy400HL94NB03paDTyN
Peg,Steely Dan,spotify:track:5emxp4RqsF6QoAWXW2Afrk
With or Without You,U2,spotify:track:6ADSaE87h8Y3lccZlBJdXH
Vertigo,U2,spotify:track:1gVVSmhWjci8l9Vrsl6HaS
Crazy Train,Ozzy Osbourne,spotify:track:7ACxUo21jtTHzy7ZEV56vU
Iron Man,Black Sabbath,spotify:track:755bvJDSA3LNcNuFgBT9LK
Sex On Fire,Kings of Leon,spotify:track:0ntQJM78wzOLVeCUAW7Y45
The Zephyr Song,Red Hot Chili Peppers,spotify:track:1ndGB6rvxKYN9seCYO1dTF
Universally Speaking,Red Hot Chili Peppers,spotify:track:39badcyKTjOtBvv4aywpfs
Give It Away,Red Hot Chili Peppers,spotify:track:0uppYCG86ajpV2hSR3dJJ0
Scar Tissue,Red Hot Chili Peppers,spotify:track:1G391cbiT3v3Cywg8T7DM1
Bye Bye,L'Arc〜en〜Ciel,spotify:track:0z5vSy5v8ini7GhgVHzPef
Who Cares,Pomplamoose,spotify:track:7lyWjlF5wNfU65jb19XV29
I Want You Around,Snoh Aalegra,spotify:track:2gjidmxtA1pyj2HYrdOTG1
Kimi to Miru Kaze no Yukue,Matenrou Opera,spotify:track:5XB3fRL4LQX3P4EmDcby5u
Soul's Refrain,Yoko Takahashi,spotify:track:1NrzI6zJMDJLXTfxRFzGwX
Jiyuu No Tsubasa,Linked Horizon,spotify:track:0l6uRRIDPNw3OsmqCYkmvi
Melissa,Porno Graffitti,spotify:track:1c7alUM5wJn6O0rG3Gio7I
READY STEADY GO,L'Arc〜en〜Ciel,spotify:track:18Z9odGzO4WPtF4FUJzre9
Link,L'Arc〜en〜Ciel,spotify:track:1IYVKu7GjfaaglGaYk9OMT
Distant Dreamer,Duffy,spotify:track:0czRI0qwOQDe1tIIrsvkaK
Bloody Stream,Coda,spotify:track:3qzkfEqjbRJ2kWyT6uebt8
Stand Proud,Jin Hashimoto,spotify:track:1YTW2IiSDH0buMd07A5Nnw
Roundabout,Yes,spotify:track:466C6kwoJHLUJ8VHG98hCY
Walk Like an Egyptian,The Bangles,spotify:track:3BGbqEDio3ocx1v4egIYr6
Last Train Home,Pat Metheny Group,spotify:track:0Rr5Lw09CzqcchhsH0Pmhs
Freek'n You,Jodeci,spotify:track:43sNw9nvGYGLYnNiwI8oMZ
In My Eyez,KEIJU,spotify:track:5Zyhvst9XXg44YpaiTbQ2f
maybe love u,Elle Teresa,spotify:track:6f5nnStq6R5EU1KmdhfOWI
Journey through the Decade,GACKT,spotify:track:4QduQ7sBymZsQK5ULhxeXR
Anna Benette,Mellow,spotify:track:0uNyxK5ofrrPSHZLARzpYt
John and Yoko,Kohh,spotify:track:4FUAwiFU6gAFZatkfX3BkN
Lifestyle,Nehan Yutaka,spotify:track:63dt1W1oFLssyDMhLeuwaV
Real,DJ SCRATCH NICE,spotify:track:04aHnmneSsJlIXfn3osWsi
Update,Serllin,spotify:track:7xzrV6VH3nGDoDFHyav3uO
Long Way,Blxst,spotify:track:3MSUrhsf4DkVKgucQm2B49
HOODLUMZ,Denzel Curry,spotify:track:6GkAi85HSZGqJwzYC2qXyI
Stubborn,Victony,spotify:track:6l7opVclJEHReImCPkMc5o
Borderline,Boj,spotify:track:0tv0rkKC3Sw52JbgE4IOr3
Paper Planes,M.I.A.,spotify:track:3wnwq6OjbXRkmPaXy5blR6
Animals,Martin Garrix,spotify:track:0A9mHc7oYUoCECqByV8cQR
Please Don't Stay,Marvin Gaye,spotify:track:3bJhVduzDlXCrWYNfZSMGO
Blood & Fire,DJ Neptune,spotify:track:7iPifzbPniUsCJkfIU6UbO
Tear Rubber,DJ Neptune,spotify:track:2zuuHnZtMwNNm99yp9Yj0s
Rolling,DJ Neptune,spotify:track:6gjqR8moxGm55jzMMQoTqt
Shawa Shawa,DJ Neptune,spotify:track:3AiMDZghQG7OdTKHzQ3Rhg
Friday,DJ Neptune,spotify:track:7iXRMAQqsDLerf7wAxWDKm
Wait,DJ Neptune,spotify:track:58tW4uUDZpzZZvs0dGhYnl
Do Like I Do,DJ Neptune,spotify:track:6WBOJj2jZUm1ZE4NqC2gpU
Secret Agenda,DJ Neptune,spotify:track:0fSwvNhNGKKNRj4J3OUpXf
No Body,DJ Neptune,spotify:track:4lMSzKgLbkf5iOwXI6O8fu
In a Way,DJ Neptune,spotify:track:6tgdlpmj77DdfoWj3YLdDw
Rise Up,DJ Neptune,spotify:track:1kR2hEOMhjMf8aWi2T4jET
Do and Undo,DJ Neptune,spotify:track:1V17VLl9WdtSeOWOCR7gIy
Cupid,DJ Neptune,spotify:track:6yGdEDX4802NlpuWDiQlhO
For You,DJ Neptune,spotify:track:0mgTrUV2FcCOjEujgheLBi
Temptations,2Pac,spotify:track:1PU3Hy2uNXmWGDe9gh4Ukb
Romantic City,RYKEY,spotify:track:5r4lInz9hKRcFYSsFgAsLS
Summer '24,Benny the Butcher,spotify:track:3Wp1UmoY6tylOCi7SIfdLA
JUST COMMUNICATION,Two-Mix,spotify:track:5ivbm4oJtoxxR782EGVCK5
RHYTHM EMOTION,Two-Mix,spotify:track:6RBMAmE0Fw0HuzwkVMxkeY
LAST IMPRESSION,Two-Mix,spotify:track:3rQ2vDEvoVyjdbbIps9Vv4
ETERNAL WIND～Hohoemi wa Hikaru-Kaze no Naka～,Hiroko Moriguchi,spotify:track:17aPi5ECRAHKv1514TS5vK
Itsuka Sora ni Todoite,Megumi Shiina,spotify:track:61WgkO28Q8apYQeBIgXIpw
You Spin Me Round,Dead or Alive,spotify:track:1ChulFMnwxoD74Me8eX2TU
Turn Around and Count 2 Ten,Dead or Alive,spotify:track:2FG8KjMXHwVo1w1OzK2jn4
Take On Me,a-ha,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L
Big In Japan,Alphaville,spotify:track:3BZGi1yUqQyCNC868AqUGG
Sweet Child O' Mine,Guns N' Roses,spotify:track:7snQQk1zcKl8gZ92AnueZW
Livin' On a Prayer,Bon Jovi,spotify:track:37ZJ0p5Jm13JPevGcx4SkF
Hungry Like the Wolf,Duran Duran,spotify:track:39lSeqnyjZJejRuaREfyLL
Personal Jesus,Depeche Mode,spotify:track:4UCTgh5jvtqoaMX6MAhUNn
Never Gonna Give You Up,Rick Astley,spotify:track:4PTG3Z6ehGkBFwjybzWkR8
Every Breath You Take,The Police,spotify:track:1JSTJqkT5qHq8MDJnJbRE1
Careless Whisper,George Michael,spotify:track:5ac3D4hNLW7NFhYFCThXgh
Billie Jean,Michael Jackson,spotify:track:7J1uxwnxfQLu4APicE5Rnj
Let's Dance,David Bowie,spotify:track:3ix6K4wZY29bCujrSznwFZ
She Drives Me Crazy,Fine Young Cannibals,spotify:track:4d6eqRtpDX7tydHJGDZUBQ
Rock With You,Michael Jackson,spotify:track:7oOOI85fVQvVnK5ynNMdW7
1999,Prince,spotify:track:2H7PHVdQ3mXqEHXcvclTB0
You Shook Me All Night Long,AC/DC,spotify:track:2SiXAy7TuUkycRVbbWDEpo
Karma Chameleon,Culture Club,spotify:track:2wSAWEYUHkt92X4SBAPqZE
END OF SORROW,LUNA SEA,spotify:track:7IQMDdGtbeslxQTspPFQRZ
Baby Love,The Supremes,spotify:track:5uES1C2NgkdrNHiCwf9jRr
PROMOTION,¥$,spotify:track:6bSfeCXlUaGa3eWCy5qPTb
Lifestyle!,Këlbz,spotify:track:1QAGujfxrECFmXJKB4MEV9
BOMB,¥$,spotify:track:2kgxyflhiicDbF8SDrBxqy
530,¥$,spotify:track:2tPNj9sUt3FbjEUqBzZazv
DEAD,¥$,spotify:track:488lIy4J0jJdPUiWqa0doB
Let's Get It On,Marvin Gaye,spotify:track:627teoJpK7qZOxRRY8TNnv
Ain't No Mountain High Enough,Marvin Gaye,spotify:track:7tqhbajSfrz2F7E1Z75ASX
For Once in My Life,Stevie Wonder,spotify:track:4kP69y3GKHi9tXckfgp4bK
All I Do Is Think About You,Tammi Terrell,spotify:track:41xksxMitE9ToNL33Tlcnn
The Last Time,The Rolling Stones,spotify:track:7foiOmd1Je7Z0D3TaZCDro
Easy,The Commodores,spotify:track:1JQ6Xm1JrvHfvAqhl5pwaA
Killing Me Softly With His Song,Roberta Flack,spotify:track:3gsCAGsWr6pUm1Vy7CPPob
Lovin' You,Minnie Riperton,spotify:track:3ebYtLVuV4HzEZUDcpZB9p
All In This Together,Pat Green,spotify:track:5AIKUVaLzfhe6FOb76lrO1
Alles Mama,GYM HARDSTYLEZ,spotify:track:5YlPfip4Zt27MI161pouUI
Isn't She Lovely,Stevie Wonder,spotify:track:3NlLmKBJozwoi0k03Feb1N
I Don't Want to Talk About It,Rod Stewart,spotify:track:2JWKzkQbYsNzx019WyGzaH
I Wish,L'Arc〜en〜Ciel,spotify:track:0cAu65IoQf27zJNYwcUfpl
By Your Side,Jadakiss,spotify:track:5aqngZ2nVJr7Yc0T9N5kgO
Nuh Ready Nuh Ready,Calvin Harris,spotify:track:2KQdxByLeH5HvuqG2MPbg7
Fall,Davido,spotify:track:1hEXElwyPez2z7m5dZ56Mc
Leaving Grapefruits,[Alexandros],spotify:track:25KPyYFtRu3ieQkz6ottgG
Hit Stick,Kodak Black,spotify:track:0tBESQdomKNyQQQk32nfA4
Supermassive Black Hole,Muse,spotify:track:3lPr8ghNDBLc2uZovNyLs9
Hysteria,Muse,spotify:track:0knbMPVHpFbsx38pLoYSRs
Starlight,Muse,spotify:track:3skn2lauGk7Dx6bVIt5DVj
Black Magic,The Amazons,spotify:track:4FUdspDZIbEUR8NM6uIgRa
Girls,jjj,spotify:track:5rW65wrTJHnLoVc2OUHKlW
Eye Splice,JJJ,spotify:track:5T9sIIIJjg0bUScrA4xWc5
Yacht,JJJ,spotify:track:3kZiUlWFKRXBVIi6uXhLrl
Vaquero!,jjj,spotify:track:6ybV4zCckcILkMNpN9jtAQ
Step Into The Arena,PUNPEE,spotify:track:21BKhmiFvF3BRkx8wlcdka
Go Get 'Em,jjj,spotify:track:7Cz5V97OcuFYgmplEZh2CQ
Bitter Dose,ISSUGI,spotify:track:1CHFZON5xUD6ydpXPHb6MI
Maktub,JJJ,spotify:track:5p1aq1f2cYcZ7sk4SeN9gn
Sayonarani Sayonara,Kaientai,spotify:track:484QMEcJmYvoV0QmJfSJaw
Tamashii no Refrain,Yoko Takahashi,spotify:track:1NrzI6zJMDJLXTfxRFzGwX
Soul's Refrain,MIYAVI,spotify:track:4eV930sY3t4FoJJj2BO8sX
House Of Balloons,The Weeknd,spotify:track:50iiDJGpAPdr2VTrz999XA
The Morning,The Weeknd,spotify:track:4jBfUB4kQJCWOrjGLQqhO0
Wicked Games,The Weeknd,spotify:track:6VwBbL8CzPiC4QV66ay7oR
The Party & The After Party,The Weeknd,spotify:track:0GROiXm03OrMC5ltXLhGIu
Coming Down,The Weeknd,spotify:track:3mHO1J6kfiArjBo1zhLFGP
Loft Music,The Weeknd,spotify:track:7xqANDRz8JFxkwfY65WISy
The Knowing,The Weeknd,spotify:track:6tjsbysvZh8Pq8DZA5ldrn
Lonely Star,The Weeknd,spotify:track:0ifooM33X1iBxVYyOkSbXW
Life Of The Party,The Weeknd,spotify:track:4yzaniwZb01bp0gT5BYwBv
